100-tysięcznym	ADJ	100-tysięczny
Grudziądzem	PROPN	Grudziądz
rządzi	VERB	rządzić
lewica	NOUN	lewica
.	PUNCT	.
102	NUM	102
lata	NOUN	rok
obchodziła	VERB	obchodzić
wczoraj	ADV	wczoraj	NOUN	wczoraj
Stanisława	PROPN	Stanisława
Przybyła	PROPN	Przybyła
,	PUNCT	,
rodowita	ADJ	rodowity
mieszkanka	NOUN	mieszkanka
Łaz	PROPN	Łazy
11-latek	NOUN	11-latek
przyniósł	VERB	przynieść
do	ADP	do
szkoły	NOUN	szkoła
w	ADP	w
Studziankach	PROPN	Studzianki
granat	NOUN	granat
19-letnia	ADJ	19-letni
Koszalina	PROPN	Koszalin
przekonała	VERB	przekonać
kolegów	NOUN	kolega
aby	SCONJ	aby
pomogli	VERB	pomóc
jej	PRON	on
oszukać	VERB	oszukać
bank	NOUN	bank
20	NUM	20	ADJ	20
osób	NOUN	osoba
ewakuowano	VERB	ewakuować
nocy	NOUN	noc
z	ADP	z	PART	z
czwartku	NOUN	czwartek
na	ADP	na	ADV	na
piątek	NOUN	piątek
domu	NOUN	dom
przy	ADP	przy
ul.	NOUN	ulica
Wawrzyniaka	PROPN	Wawrzyniak
20-letni	ADJ	dwudziestoletni
żołnierz	NOUN	żołnierz
jednej	ADJ	jeden
kołobrzeskich	ADJ	kołobrzeski
jednostek	NOUN	jednostka
wojskowych	ADJ	wojskowy
zastrzelił	VERB	zastrzelić
się	PRON	się
warcie	NOUN	warta
soboty	NOUN	sobota
niedzielę	NOUN	niedziela
200	NUM	200
nich	PRON	on
chronionych	ADJ	chronić
jest	AUX	być	VERB	być
jako	ADP	jako	CCONJ	jako
zabytki	NOUN	zabytek
architektury	NOUN	architektura
ogrodniczej	ADJ	ogrodniczy
21-latek	NOUN	21-latek
ostrzelał	VERB	ostrzelać
broni	NOUN	broń	VERB	bronić
ostrej	ADJ	ostry
mieszkanie	NOUN	mieszkanie
centrum	NOUN	centrum
Skarżyska	PROPN	Skarżysko
23--letni	ADJ	23-letni
rolnik	NOUN	rolnik
jechał	VERB	jechać
ciągnikiem	NOUN	ciągnik
rozdrabniarką	NOUN	rozdrabniarka
gałęzi	NOUN	gałąź
25	NUM	25
lat	NOUN	rok
temu	ADP	temu	PRON	to	DET	ten
zaginął	VERB	zaginąć
Bieszczadach	PROPN	Bieszczady
tajemniczych	ADJ	tajemniczy
okolicznościach	NOUN	okoliczność
Witold	PROPN	Witold
Gontaszewski	PROPN	Gontaszewski
3-letnia	ADJ	3-letnia
Joasia	PROPN	Joasia
wybierała	VERB	wybierać
dziadkiem	NOUN	dziadek
weekend	NOUN	weekend
3	ADJ	3	NUM	3	NOUN	3
